"time","jiangan","jianghan","qiaokou","hanyang","wuchang","qingshan","hongshan","dongxihu","caidian","jiangxia","huangpi","xinzhou","hannan","total"
"1523199600","50","69","27","65","86","14","65","47","14","27","10","1","1","476"
"1523203200","30","50","14","34","40","5","25","28","7","16","3","1","0","253"
"1523210400","9","16","10","19","13","1","10","5","4","3","2","0","0","92"
"1523206800","19","31","16","27","25","2","9","16","4","3","5","1","0","158"
"1523214000","8","7","0","5","7","2","8","11","1","4","3","0","0","56"
"1523217600","3","7","4","8","8","0","5","7","1","1","5","0","0","49"
"1523221200","17","18","4","18","25","5","17","14","4","6","4","1","0","133"
"1523232000","95","128","51","101","149","53","132","81","34","54","20","1","1","900"
"1523228400","48","102","36","76","88","34","98","46","18","30","13","0","0","589"
"1523224800","24","55","14","30","54","19","48","39","6","18","14","2","0","323"
"1523235600","96","175","57","143","156","34","130","101","44","54","19","0","3","1012"
"1523239200","118","181","58","145","197","42","109","74","37","36","18","0","1","1016"
"1523242800","93","139","61","120","156","48","141","80","34","62","13","0","1","948"
"1523250000","95","135","61","145","159","50","118","92","43","41","14","0","2","955"
"1523246400","75","129","41","124","154","40","122","75","42","40","16","0","2","860"
"1523253600","86","131","52","121","165","51","158","78","26","69","15","0","0","952"
"1523257200","110","156","58","126","187","43","147","103","26","63","20","0","1","1040"
"1523260800","97","133","59","152","176","40","145","86","34","57","20","1","1","1001"
"1523278800","27","41","19","41","48","9","59","25","11","34","9","0","1","324"
"1523268000","79","125","55","104","122","35","93","90","29","48","15","0","1","796"
"1523264400","101","125","52","102","132","52","128","69","26","58","18","1","1","865"
"1523275200","30","61","25","70","71","6","58","35","8","28","9","0","1","402"
"1523271600","39","103","43","98","90","10","93","71","27","35","31","2","1","643"
"1523282400","26","47","23","40","53","9","46","25","6","17","4","0","0","296"
"1523286000","22","33","18","32","37","8","33","25","10","17","7","0","0","242"
"1523293200","8","18","7","12","14","2","17","9","3","10","3","0","0","103"
"1523289600","9","20","11","18","14","3","15","12","5","13","0","0","0","120"
"1523304000","0","2","1","2","2","0","1","0","1","2","0","0","0","11"
"1523300400","1","1","0","6","4","0","5","2","0","2","3","0","0","24"
"1523296800","3","6","4","9","6","3","7","4","2","4","2","0","0","50"
"1523307600","4","11","1","11","7","2","5","4","3","0","0","0","0","48"
"1523311200","24","34","17","28","35","8","44","21","10","24","4","0","0","249"
"1523318400","69","130","38","99","142","37","132","81","27","53","17","0","2","827"
"1523322000","104","173","64","131","177","49","145","105","40","53","31","6","2","1080"
"1523325600","90","178","71","152","186","44","157","95","36","54","17","0","1","1081"
"1523314800","42","78","26","56","67","18","85","48","11","27","15","0","0","473"
"1523329200","108","182","79","168","208","50","158","101","27","44","23","0","1","1149"
"1523332800","96","160","70","156","161","59","174","92","39","78","13","3","2","1103"
"1523343600","98","137","57","102","161","59","180","107","35","72","15","1","0","1024"
"1523340000","99","131","41","119","185","45","171","67","24","64","13","0","3","962"
"1523347200","95","141","57","111","177","65","149","98","22","61","26","2","1","1005"
"1523336400","106","153","54","119","174","42","152","97","31","67","19","0","1","1015"
"1523350800","78","141","41","122","147","40","132","79","32","56","17","1","1","887"
"1523354400","74","117","40","138","147","29","121","65","44","51","15","0","3","844"
"1523358000","94","142","61","132","158","32","137","70","32","70","17","2","5","952"
"1523361600","91","106","44","104","148","27","112","63","15","43","19","0","1","773"
"1523365200","47","113","41","104","158","26","129","59","21","48","9","0","0","755"
"1523368800","73","92","39","92","134","32","104","59","9","52","6","1","0","693"
"1523372400","43","88","42","75","68","17","69","57","20","41","14","2","0","536"
"1523376000","30","55","22","44","35","4","26","39","10","17","8","0","0","290"
"1523383200","15","16","10","10","15","2","9","8","4","4","3","0","0","96"
